SGD_NUM,SGD_DATE,IMPORTER_TIN,DECLARANT_CODE,OFFICE_CODE,ORIGIN_CODE,HSCODE,ITM_NUM,XGB,Ranking-XGB,XGB+LR,Ranking-XGB+LR,DATE_CLS,Ranking-DATE_CLS,DATE_REV,Ranking-DATE_REV
C12953,2020-04-20T00:00:00Z,IMPW1138,DEC3770,OFFICE92,CNTRY680,6910100000,43863,0.008342844,707,0.016802956170175996,505,0.001990398159250617,687,-0.003123149275779724,497
C12957,2020-04-20T00:00:00Z,IMPW1138,DEC3770,OFFICE92,CNTRY680,8481100000,43831,0.0042335870000000005,894,0.000404980996047468,982,0.002466997131705284,649,-0.0059575289487838745,867
C12958,2020-04-20T00:00:00Z,IMPW3289,DEC3660,OFFICE92,CNTRY680,8442500000,43831,0.0019933376,1581,0.00018711587562792467,1064,0.0005948044126853348,1008,-0.0058095455169677734,847
C12959,2020-04-20T00:00:00Z,IMP647543,DECW2169,OFFICE92,CNTRY680,9031800000,43831,0.22372809,103,0.06509927244393443,384,0.005676175002008677,519,-0.00907886028289795,1386
C12960,2020-04-20T00:00:00Z,IMPW1138,DEC3770,OFFICE92,CNTRY680,8481100000,43862,0.006041571999999999,807,0.0011317820140404856,847,0.0046177380718290814,558,-0.005475953221321106,777
C12960,2020-04-20T00:00:00Z,IMPW1138,DEC3770,OFFICE92,CNTRY680,7311000000,43863,0.011451515,562,0.12396243934316835,313,0.0139344846829772,399,-0.0024463683366775513,448
C12961,2020-04-20T00:00:00Z,IMPW1138,DEC3770,OFFICE92,CNTRY680,8481100000,43862,0.0042913305,889,0.0002700303624567977,1023,0.003050450002774596,621,-0.005963742733001709,876
C12961,2020-04-20T00:00:00Z,IMPW1138,DEC3770,OFFICE92,CNTRY680,6910100000,43863,0.008342844,707,0.016802956170175996,505,0.001990398159250617,687,-0.003123149275779724,497
C12962,2020-04-20T00:00:00Z,IMP159657,DEC3660,OFFICE92,CNTRY215,3214900000,43891,0.21271132,114,0.9227729311033672,65,0.8980661034584045,81,0.6127152442932129,74
C12962,2020-04-20T00:00:00Z,IMP159657,DEC3660,OFFICE92,CNTRY215,3214900000,43893,0.22012079,107,0.9127843007930933,68,0.8819926381111145,86,0.5862557291984558,85
