starting_date,f1,auc,pr1,pr2,pr5,pr10,re1,re2,re5,re10,rev1,rev2,rev5,rev10,model,epoch,dim,lr,l2,beta,heads,fusion,activation,ntree,ndepth
13-01-01,0.7397706011551289,0.9630698299484781,0.9793851971626282,0.7966715097427368,0.37853679060935974,0.19912448525428772,0.4370561652679148,0.71078114912847,0.8442543576500968,0.8883150419625565,0.35754101337310473,0.6195286381265088,0.8003234080562434,0.8689969038392844,DATE_13-01-01_4_4,5,4,0.005,0.01,0.0,4,concat,relu,100,4
13-01-01,0.7759952465834818,0.9644601914231177,0.9464737772941589,0.8310810923576355,0.379756897687912,0.19993488490581512,0.4223692704970949,0.7345061329890252,0.8471594577146546,0.8920271142672692,0.41864540895624364,0.6683208066727763,0.8076966021587216,0.8827266983795775,DATE_13-01-01_4_4,5,4,0.005,0.01,0.0,4,concat,relu,100,4
13-01-01,0.7614366130183144,0.9670338942984638,0.9424954652786255,0.8348706960678101,0.3856843113899231,0.20157115161418915,0.420593931568754,0.7449967721110394,0.8600710135571337,0.8986442866365397,0.4121447225847274,0.67575597352732,0.8067818358457732,0.887774747320863,DATE_13-01-01_8_4,5,8,0.005,0.01,0.0,4,concat,relu,100,4
13-01-01,0.7411399640699003,0.9636463144527525,0.9551537036895752,0.7958257794380188,0.3790334165096283,0.1999710649251938,0.42624273724983863,0.7077146546158812,0.8455455132343448,0.8921885087153002,0.46883605479188356,0.6672201749363271,0.8084593682380244,0.8714511245782978,DATE_13-01-01_8_4,5,8,0.005,0.01,0.0,4,concat,relu,100,4
13-01-01,0.763567174056916,0.9651533050413403,0.9775768518447876,0.8180336952209473,0.37838229537010193,0.20065194368362427,0.43624919302775983,0.7291801162040026,0.8440929632020658,0.8941252420916721,0.35258283530895707,0.6445888998282867,0.7888815417356244,0.877829141762418,DATE_13-01-01_8_4,5,8,0.005,0.01,0.0,4,concat,relu,100,4
13-01-01,0.728585695628793,0.9679988687912086,0.9164556860923767,0.7704828977584839,0.3913295269012451,0.20286500453948975,0.40897353131052294,0.6875403486120077,0.8726597805035506,0.9051000645577792,0.47131630519644047,0.6562087494644275,0.844622241993391,0.8930647268333851,DATE_13-01-01_8_4,5,8,0.005,0.01,0.0,4,concat,relu,100,4
13-01-01,0.7435997198661582,0.9671645386142638,0.9197106957435608,0.7760897278785706,0.3860512375831604,0.2022581696510315,0.4104260813428018,0.6925435765009683,0.8612007746933505,0.9020335700451905,0.4343457946858614,0.653644051203305,0.830110236858765,0.8876979401325381,DATE_13-01-01_8_4,5,8,0.005,0.01,0.0,4,concat,relu,100,4
13-01-01,0.7423665667773548,0.9630172506205305,0.9154878258705139,0.8057488203048706,0.3736072778701782,0.19892901182174683,0.40735958683021306,0.7102969657843771,0.8334409296320207,0.8873466752743706,0.4522675428471221,0.6513457647454401,0.7921343974095785,0.8750543023062571,DATE_13-01-01_8_4,5,8,0.005,0.01,0.0,4,concat,relu,100,4
13-01-01,0.7676900344770973,0.9657778619716441,0.9685352444648743,0.830058217048645,0.3819997012615204,0.2001519352197647,0.43221433182698515,0.736281471917366,0.8521626856036152,0.8929954809554551,0.4205404760911004,0.6577367327571308,0.8305796623666174,0.8804332179927414,DATE_13-01-01_8_4,5,8,0.005,0.01,0.0,4,concat,relu,100,4
13-01-01,0.7293314720024818,0.9658784226499508,0.9601882100105286,0.7959479093551636,0.38417017459869385,0.20133136212825775,0.4281794706262105,0.7101355713363461,0.8570045190445449,0.8981601032924468,0.4220386030404292,0.6536834331491607,0.8363840980759046,0.8878430249639808,DATE_13-01-01_8_4,5,8,0.005,0.01,0.0,4,concat,relu,100,4
